"k_til/k_sand","Q_total","Q_vw","Q_til","dilution ratio"
0.0003456,0.0105018,0.00949825,0.00100256,9.47402
0.000359723,0.0105431,0.00949818,0.00104302,9.10646
0.000374422,0.0105851,0.0094981,0.00108507,8.75342
0.000389723,0.0106288,0.00949803,0.0011288,8.41424
0.000405649,0.0106733,0.00949794,0.00117426,8.08844
0.000422225,0.0107212,0.00949786,0.00122154,7.77533
0.000439479,0.0107705,0.00949777,0.00127068,7.47454
0.000457438,0.0108203,0.00949768,0.00132176,7.18562
0.000476131,0.0108743,0.00949758,0.00137488,6.90793
0.000495588,0.0109296,0.00949748,0.00143009,6.64119
0.00051584,0.0109868,0.00949738,0.00148746,6.38495
0.000536919,0.0110465,0.00949727,0.0015471,6.13877
0.00055886,0.0111084,0.00949716,0.00160908,5.90222
0.000581697,0.0111723,0.00949704,0.00167349,5.67498
0.000605468,0.0112392,0.00949692,0.00174043,5.45666
0.00063021,0.0113088,0.0094968,0.00180997,5.24693
0.000655963,0.0113808,0.00949666,0.00188224,5.04541
0.000682768,0.0114558,0.00949653,0.00195731,4.85181
0.000710669,0.0115338,0.00949639,0.00203531,4.66582
0.00073971,0.0116138,0.00949624,0.00211633,4.48712
0.000769938,0.0116977,0.00949609,0.00220049,4.31545
0.000801401,0.0117852,0.00949593,0.0022879,4.15051
0.00083415,0.0118753,0.00949577,0.00237868,3.99203
0.000868237,0.01197,0.0094956,0.00247294,3.83979
0.000903716,0.0120686,0.00949542,0.00257084,3.69351
0.000940646,0.01217,0.00949524,0.00267247,3.55298
0.000979085,0.0122746,0.00949505,0.00277796,3.418
0.00101909,0.0123839,0.00949485,0.00288748,3.28828
0.00106074,0.0124975,0.00949465,0.00300115,3.16367
0.00110409,0.0126155,0.00949444,0.00311912,3.04395
0.0011492,0.0127369,0.00949422,0.00324153,2.92893
0.00119616,0.012864,0.00949399,0.00336854,2.81843
0.00124504,0.0129956,0.00949376,0.00350031,2.71226
0.00129592,0.013132,0.00949351,0.003637,2.61026
0.00134888,0.0132735,0.00949326,0.00377876,2.51227
0.001404,0.0134203,0.00949299,0.00392577,2.41813
0.00146137,0.0135724,0.00949272,0.0040782,2.32768
0.00152109,0.0137294,0.00949244,0.00423625,2.24077
0.00158325,0.0138933,0.00949215,0.00440003,2.15729
0.00164795,0.0140628,0.00949185,0.00456981,2.07708
0.00171529,0.0142381,0.00949153,0.0047457,2.00003
0.00178539,0.0144199,0.00949121,0.00492796,1.92599
0.00185834,0.0146074,0.00949087,0.00511677,1.85486
0.00193428,0.0148031,0.00949053,0.00531226,1.78653
0.00201333,0.015005,0.00949017,0.0055147,1.72089
0.0020956,0.0152133,0.0094898,0.00572428,1.65781
0.00218123,0.0154304,0.00948941,0.0059412,1.59722
0.00227037,0.0156535,0.00948902,0.00616567,1.53901
0.00236315,0.0158855,0.00948861,0.00639792,1.48308
0.00245971,0.0161279,0.00948818,0.0066381,1.42935
0.00256023,0.0163755,0.00948775,0.00688652,1.37773
0.00266485,0.0166316,0.00948729,0.00714336,1.32813
0.00277375,0.0168939,0.00948683,0.00740879,1.28048
0.0028871,0.0171698,0.00948635,0.00768307,1.23471
0.00300507,0.0174503,0.00948585,0.00796643,1.19073
0.00312787,0.0177421,0.00948534,0.00825905,1.14848
0.00325569,0.0180429,0.00948481,0.00856119,1.10788
0.00338873,0.0183575,0.00948427,0.00887304,1.06889
0.00352721,0.018677,0.00948371,0.00919481,1.03142
0.00367135,0.0190099,0.00948314,0.00952672,0.995425
0.00382138,0.0193515,0.00948254,0.00986895,0.960846
0.00397753,0.0197037,0.00948193,0.0102217,0.927625
0.00414007,0.0200659,0.00948131,0.0105852,0.89571
0.00430925,0.0204388,0.00948067,0.0109597,0.865046
0.00448535,0.020824,0.00948001,0.0113453,0.83559
0.00466864,0.0212201,0.00947933,0.0117422,0.80729
0.00485942,0.0216277,0.00947863,0.0121505,0.780102
0.005058,0.0220468,0.00947792,0.0125705,0.753983
0.00526469,0.0224777,0.00947718,0.0130022,0.72889
0.00547983,0.0229202,0.00947643,0.0134459,0.704783
0.00570376,0.0233747,0.00947567,0.0139016,0.681623
0.00593683,0.0238414,0.00947488,0.0143695,0.659373
0.00617944,0.0243201,0.00947407,0.0148497,0.637997
0.00643196,0.0248114,0.00947325,0.0153423,0.617461
0.00669479,0.0253152,0.00947241,0.0158473,0.597732
0.00696837,0.025832,0.00947156,0.0163646,0.578784
0.00725313,0.0263605,0.00947069,0.0168946,0.560576
0.00754952,0.0269014,0.0094698,0.0174368,0.543092
0.00785803,0.0274566,0.00946889,0.0179918,0.52629
0.00817914,0.0280209,0.00946797,0.0185589,0.510157
0.00851338,0.0286022,0.00946703,0.019139,0.494647
0.00886127,0.0291911,0.00946608,0.019731,0.479756
0.00922338,0.0297942,0.00946512,0.0203353,0.465452
