"x","head just below temp.layer","head just above temp.layer","head at z=0"
0.25,0.286626,0.277567,0.286905
0.375,0.286621,0.277567,0.286857
0.5,0.28661,0.277567,0.28681
0.625,0.286593,0.277567,0.286763
0.75,0.286573,0.277567,0.286715
0.875,0.286548,0.277567,0.286667
1,0.28652,0.277567,0.28662
1.125,0.286488,0.277567,0.286572
1.25,0.286454,0.277567,0.286525
1.375,0.286418,0.277567,0.286478
1.5,0.28638,0.277566,0.28643
1.625,0.28634,0.277566,0.286382
1.75,0.286299,0.277566,0.286335
1.875,0.286257,0.277566,0.286287
2,0.286215,0.277566,0.28624
2.125,0.286171,0.277566,0.286193
2.25,0.286126,0.277566,0.286145
2.375,0.286082,0.277566,0.286097
2.5,0.286036,0.277566,0.28605
2.625,0.285991,0.277565,0.286002
2.75,0.285945,0.277565,0.285955
2.875,0.285898,0.277565,0.285908
3,0.285852,0.277565,0.28586
3.125,0.285805,0.277565,0.285812
3.25,0.285759,0.277565,0.285765
3.375,0.285712,0.277564,0.285717
3.5,0.285665,0.277564,0.28567
3.625,0.285618,0.277564,0.285623
3.75,0.285571,0.277564,0.285575
3.875,0.285523,0.277564,0.285527
4,0.285476,0.277563,0.28548
4.125,0.285429,0.277563,0.285432
4.25,0.285381,0.277563,0.285385
4.375,0.285334,0.277563,0.285338
4.5,0.285287,0.277563,0.28529
4.625,0.285239,0.277562,0.285242
4.75,0.285192,0.277562,0.285195
4.875,0.285145,0.277562,0.285147
5,0.285097,0.277562,0.2851
5.125,0.28505,0.277561,0.285053
5.25,0.285002,0.277561,0.285005
5.375,0.284955,0.277561,0.284957
5.5,0.284907,0.277561,0.28491
5.625,0.28486,0.27756,0.284862
5.75,0.284812,0.27756,0.284815
5.875,0.284765,0.27756,0.284768
6,0.284717,0.277559,0.28472
6.125,0.28467,0.277559,0.284672
6.25,0.284623,0.277559,0.284625
6.375,0.284575,0.277558,0.284577
6.5,0.284528,0.277558,0.28453
6.625,0.28448,0.277558,0.284483
6.75,0.284433,0.277558,0.284435
6.875,0.284385,0.277557,0.284387
7,0.284338,0.277557,0.28434
7.125,0.28429,0.277557,0.284292
7.25,0.284243,0.277556,0.284245
7.375,0.284195,0.277556,0.284198
7.5,0.284148,0.277555,0.28415
7.625,0.2841,0.277555,0.284102
7.75,0.284053,0.277555,0.284055
7.875,0.284005,0.277554,0.284007
8,0.283958,0.277554,0.28396
8.125,0.28391,0.277554,0.283913
8.25,0.283863,0.277553,0.283865
8.375,0.283815,0.277553,0.283817
8.5,0.283768,0.277553,0.28377
8.625,0.28372,0.277552,0.283722
8.75,0.283673,0.277552,0.283675
8.875,0.283625,0.277551,0.283628
9,0.283578,0.277551,0.28358
9.125,0.28353,0.277551,0.283533
9.25,0.283483,0.27755,0.283485
9.375,0.283435,0.27755,0.283437
9.5,0.283388,0.277549,0.28339
9.625,0.28334,0.277549,0.283343
9.75,0.283293,0.277548,0.283295
9.875,0.283246,0.277548,0.283248
10,0.283198,0.277548,0.2832
10.125,0.283151,0.277547,0.283152
10.25,0.283103,0.277547,0.283105
10.375,0.283056,0.277546,0.283058
10.5,0.283008,0.277546,0.28301
10.625,0.282961,0.277545,0.282963
10.75,0.282913,0.277545,0.282915
10.875,0.282866,0.277544,0.282867
11,0.282818,0.277544,0.28282
11.125,0.282771,0.277543,0.282773
11.25,0.282723,0.277543,0.282725
11.375,0.282676,0.277543,0.282678
11.5,0.282628,0.277542,0.28263
11.625,0.282581,0.277542,0.282582
11.75,0.282533,0.277541,0.282535
11.875,0.282486,0.277541,0.282488
12,0.282438,0.27754,0.28244
12.125,0.282391,0.27754,0.282393
12.25,0.282343,0.277539,0.282345
12.375,0.282296,0.277539,0.282297
12.5,0.282248,0.277538,0.28225
12.625,0.282201,0.277538,0.282203
12.75,0.282153,0.277537,0.282155
12.875,0.282106,0.277537,0.282108
13,0.282058,0.277536,0.28206
13.125,0.282011,0.277535,0.282012
13.25,0.281963,0.277535,0.281965
13.375,0.281916,0.277534,0.281918
13.5,0.281869,0.277534,0.28187
13.625,0.281821,0.277533,0.281823
13.75,0.281774,0.277533,0.281775
13.875,0.281726,0.277532,0.281727
14,0.281679,0.277532,0.28168
14.125,0.281631,0.277531,0.281633
14.25,0.281584,0.277531,0.281585
14.375,0.281536,0.27753,0.281538
14.5,0.281489,0.27753,0.28149
14.625,0.281441,0.277529,0.281442
14.75,0.281394,0.277528,0.281395
14.875,0.281346,0.277528,0.281348
15,0.281299,0.277527,0.2813
15.125,0.281251,0.277527,0.281253
15.25,0.281204,0.277526,0.281205
15.375,0.281156,0.277526,0.281157
15.5,0.281109,0.277525,0.28111
15.625,0.281061,0.277524,0.281063
15.75,0.281014,0.277524,0.281015
15.875,0.280966,0.277523,0.280968
16,0.280919,0.277523,0.28092
16.125,0.280871,0.277522,0.280872
16.25,0.280824,0.277522,0.280825
16.375,0.280776,0.277521,0.280778
16.5,0.280729,0.27752,0.28073
16.625,0.280681,0.27752,0.280683
16.75,0.280634,0.277519,0.280635
16.875,0.280586,0.277519,0.280587
17,0.280539,0.277518,0.28054
17.125,0.280491,0.277517,0.280493
17.25,0.280444,0.277517,0.280445
17.375,0.280396,0.277516,0.280398
17.5,0.280349,0.277516,0.28035
17.625,0.280302,0.277515,0.280302
17.75,0.280254,0.277514,0.280255
17.875,0.280207,0.277514,0.280208
18,0.280159,0.277513,0.28016
18.125,0.280112,0.277512,0.280113
18.25,0.280064,0.277512,0.280065
18.375,0.280017,0.277511,0.280017
18.5,0.279969,0.277511,0.27997
18.625,0.279922,0.27751,0.279922
18.75,0.279874,0.277509,0.279875
18.875,0.279827,0.277509,0.279828
19,0.279779,0.277508,0.27978
19.125,0.279732,0.277507,0.279732
19.25,0.279684,0.277507,0.279685
19.375,0.279637,0.277506,0.279637
19.5,0.279589,0.277506,0.27959
19.625,0.279542,0.277505,0.279543
19.75,0.279494,0.277504,0.279495
19.875,0.279447,0.277504,0.279447
20,0.279399,0.277503,0.2794
20.125,0.279352,0.277502,0.279352
20.25,0.279304,0.277502,0.279305
20.375,0.279257,0.277501,0.279258
20.5,0.279209,0.2775,0.27921
20.625,0.279162,0.2775,0.279162
20.75,0.279114,0.277499,0.279115
20.875,0.279067,0.277498,0.279067
21,0.279019,0.277498,0.27902
21.125,0.278972,0.277497,0.278973
21.25,0.278924,0.277497,0.278925
21.375,0.278877,0.277496,0.278877
21.5,0.27883,0.277495,0.27883
21.625,0.278782,0.277495,0.278782
21.75,0.278735,0.277494,0.278735
21.875,0.278687,0.277493,0.278688
22,0.27864,0.277493,0.27864
22.125,0.278592,0.277492,0.278592
22.25,0.278545,0.277491,0.278545
22.375,0.278497,0.277491,0.278497
22.5,0.27845,0.27749,0.27845
22.625,0.278402,0.277489,0.278403
22.75,0.278355,0.277489,0.278355
22.875,0.278307,0.277488,0.278307
23,0.27826,0.277487,0.27826
23.125,0.278212,0.277487,0.278212
23.25,0.278165,0.277486,0.278165
23.375,0.278117,0.277485,0.278118
23.5,0.27807,0.277485,0.27807
23.625,0.278022,0.277484,0.278022
23.75,0.277975,0.277483,0.277975
23.875,0.277927,0.277483,0.277927
24,0.27788,0.277482,0.27788
24.125,0.277832,0.277481,0.277833
24.25,0.277785,0.277481,0.277785
24.375,0.277737,0.27748,0.277737
24.5,0.27769,0.277479,0.27769
24.625,0.277642,0.277479,0.277642
