x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
0.125,0.286141,0.2775,0,0
0.25,0.286136,0.2775,0.286626,0.277567
0.375,0.286126,0.2775,0.286621,0.277567
0.5,0.286114,0.2775,0.28661,0.277567
0.625,0.286098,0.2775,0.286593,0.277567
0.75,0.28608,0.2775,0.286573,0.277567
0.875,0.286059,0.2775,0.286548,0.277567
1,0.286036,0.2775,0.28652,0.277567
1.125,0.286012,0.2775,0.286488,0.277567
1.25,0.285985,0.2775,0.286454,0.277567
1.375,0.285957,0.2775,0.286418,0.277567
1.5,0.285928,0.2775,0.28638,0.277566
1.625,0.285898,0.2775,0.28634,0.277566
1.75,0.285866,0.2775,0.286299,0.277566
1.875,0.285834,0.2775,0.286257,0.277566
2,0.2858,0.2775,0.286215,0.277566
2.125,0.285766,0.2775,0.286171,0.277566
2.25,0.285731,0.2775,0.286126,0.277566
2.375,0.285696,0.2775,0.286082,0.277566
2.5,0.28566,0.2775,0.286036,0.277566
2.625,0.285623,0.2775,0.285991,0.277565
2.75,0.285586,0.2775,0.285945,0.277565
2.875,0.285549,0.2775,0.285898,0.277565
3,0.285511,0.2775,0.285852,0.277565
3.125,0.285472,0.2775,0.285805,0.277565
3.25,0.285434,0.2775,0.285759,0.277565
3.375,0.285395,0.2775,0.285712,0.277564
3.5,0.285355,0.2775,0.285665,0.277564
3.625,0.285316,0.2775,0.285618,0.277564
3.75,0.285276,0.2775,0.285571,0.277564
3.875,0.285236,0.2775,0.285523,0.277564
4,0.285195,0.2775,0.285476,0.277563
4.125,0.285155,0.2775,0.285429,0.277563
4.25,0.285114,0.2775,0.285381,0.277563
4.375,0.285072,0.2775,0.285334,0.277563
4.5,0.285031,0.2775,0.285287,0.277563
4.625,0.28499,0.2775,0.285239,0.277562
4.75,0.284948,0.2775,0.285192,0.277562
4.875,0.284906,0.2775,0.285145,0.277562
5,0.284864,0.2775,0.285097,0.277562
5.125,0.284822,0.2775,0.28505,0.277561
5.25,0.28478,0.2775,0.285002,0.277561
5.375,0.284737,0.2775,0.284955,0.277561
5.5,0.284694,0.2775,0.284907,0.277561
5.625,0.284652,0.2775,0.28486,0.27756
5.75,0.284609,0.2775,0.284812,0.27756
5.875,0.284566,0.2775,0.284765,0.27756
6,0.284523,0.2775,0.284717,0.277559
6.125,0.28448,0.2775,0.28467,0.277559
6.25,0.284436,0.2775,0.284623,0.277559
6.375,0.284393,0.2775,0.284575,0.277558
6.5,0.284349,0.2775,0.284528,0.277558
6.625,0.284306,0.2775,0.28448,0.277558
6.75,0.284262,0.2775,0.284433,0.277558
6.875,0.284218,0.2775,0.284385,0.277557
7,0.284174,0.2775,0.284338,0.277557
7.125,0.28413,0.2775,0.28429,0.277557
7.25,0.284086,0.2775,0.284243,0.277556
7.375,0.284042,0.2775,0.284195,0.277556
7.5,0.283998,0.2775,0.284148,0.277555
7.625,0.283953,0.2775,0.2841,0.277555
7.75,0.283909,0.2775,0.284053,0.277555
7.875,0.283864,0.2775,0.284005,0.277554
8,0.28382,0.2775,0.283958,0.277554
8.125,0.283775,0.2775,0.28391,0.277554
8.25,0.283731,0.2775,0.283863,0.277553
8.375,0.283686,0.2775,0.283815,0.277553
8.5,0.283641,0.2775,0.283768,0.277553
8.625,0.283596,0.2775,0.28372,0.277552
8.75,0.283551,0.2775,0.283673,0.277552
8.875,0.283506,0.2775,0.283625,0.277551
9,0.283461,0.2775,0.283578,0.277551
9.125,0.283416,0.2775,0.28353,0.277551
9.25,0.283371,0.2775,0.283483,0.27755
9.375,0.283326,0.2775,0.283435,0.27755
9.5,0.283281,0.2775,0.283388,0.277549
9.625,0.283235,0.2775,0.28334,0.277549
9.75,0.28319,0.2775,0.283293,0.277548
9.875,0.283145,0.2775,0.283246,0.277548
10,0.283099,0.2775,0.283198,0.277548
10.125,0.283054,0.2775,0.283151,0.277547
