x [m],head under wg layer analytical,head above wg layer analytical,head under wg layer modflow,head above wg layer modflow
0.125,0.286141,0.285622,0,0
0.25,0.286136,0.285619,0.28607,0.285493
0.375,0.286126,0.285614,0.286066,0.285492
0.5,0.286114,0.285607,0.286059,0.285488
0.625,0.286098,0.285599,0.286048,0.285483
0.75,0.28608,0.285589,0.286034,0.285475
0.875,0.286059,0.285577,0.286017,0.285467
1,0.286036,0.285563,0.285997,0.285456
1.125,0.286012,0.285548,0.285975,0.285444
1.25,0.285985,0.285532,0.285952,0.285431
1.375,0.285957,0.285514,0.285926,0.285416
1.5,0.285928,0.285495,0.285899,0.285399
1.625,0.285898,0.285474,0.28587,0.285381
1.75,0.285866,0.285453,0.28584,0.285362
1.875,0.285834,0.28543,0.285809,0.285342
2,0.2858,0.285406,0.285777,0.285321
2.125,0.285766,0.285382,0.285744,0.285299
2.25,0.285731,0.285356,0.28571,0.285275
2.375,0.285696,0.28533,0.285676,0.285251
2.5,0.28566,0.285302,0.285641,0.285226
2.625,0.285623,0.285274,0.285605,0.2852
2.75,0.285586,0.285245,0.285569,0.285173
2.875,0.285549,0.285216,0.285532,0.285145
3,0.285511,0.285186,0.285495,0.285117
3.125,0.285472,0.285155,0.285457,0.285088
3.25,0.285434,0.285124,0.285419,0.285058
3.375,0.285395,0.285092,0.28538,0.285028
3.5,0.285355,0.285059,0.285342,0.284997
3.625,0.285316,0.285026,0.285302,0.284966
3.75,0.285276,0.284993,0.285263,0.284934
3.875,0.285236,0.284959,0.285223,0.284902
4,0.285195,0.284925,0.285183,0.284869
4.125,0.285155,0.28489,0.285143,0.284836
4.25,0.285114,0.284855,0.285102,0.284802
4.375,0.285072,0.28482,0.285061,0.284768
4.5,0.285031,0.284784,0.28502,0.284733
4.625,0.28499,0.284748,0.284979,0.284698
4.75,0.284948,0.284712,0.284938,0.284663
4.875,0.284906,0.284675,0.284896,0.284627
5,0.284864,0.284638,0.284854,0.284591
5.125,0.284822,0.284601,0.284813,0.284555
5.25,0.28478,0.284563,0.28477,0.284519
5.375,0.284737,0.284525,0.284728,0.284482
5.5,0.284694,0.284487,0.284686,0.284445
5.625,0.284652,0.284449,0.284643,0.284407
5.75,0.284609,0.28441,0.284601,0.28437
5.875,0.284566,0.284372,0.284558,0.284332
6,0.284523,0.284333,0.284515,0.284293
6.125,0.28448,0.284293,0.284472,0.284255
6.25,0.284436,0.284254,0.284429,0.284216
6.375,0.284393,0.284214,0.284385,0.284178
6.5,0.284349,0.284175,0.284342,0.284139
6.625,0.284306,0.284135,0.284298,0.284099
6.75,0.284262,0.284094,0.284255,0.28406
6.875,0.284218,0.284054,0.284211,0.28402
7,0.284174,0.284014,0.284167,0.28398
7.125,0.28413,0.283973,0.284124,0.28394
7.25,0.284086,0.283932,0.28408,0.2839
7.375,0.284042,0.283891,0.284036,0.28386
7.5,0.283998,0.28385,0.283991,0.283819
7.625,0.283953,0.283809,0.283947,0.283779
7.75,0.283909,0.283767,0.283903,0.283738
7.875,0.283864,0.283726,0.283859,0.283697
8,0.28382,0.283684,0.283814,0.283656
8.125,0.283775,0.283642,0.28377,0.283614
8.25,0.283731,0.2836,0.283725,0.283573
8.375,0.283686,0.283558,0.283681,0.283531
8.5,0.283641,0.283516,0.283636,0.28349
8.625,0.283596,0.283474,0.283591,0.283448
8.75,0.283551,0.283431,0.283546,0.283406
8.875,0.283506,0.283389,0.283501,0.283364
9,0.283461,0.283346,0.283457,0.283322
9.125,0.283416,0.283303,0.283412,0.28328
9.25,0.283371,0.28326,0.283366,0.283237
9.375,0.283326,0.283218,0.283321,0.283195
9.5,0.283281,0.283174,0.283276,0.283152
9.625,0.283235,0.283131,0.283231,0.28311
9.75,0.28319,0.283088,0.283186,0.283067
9.875,0.283145,0.283045,0.283141,0.283024
10,0.283099,0.283001,0.283095,0.282981
10.125,0.283054,0.282958,0.28305,0.282938
10.25,0.283008,0.282914,0.283004,0.282895
10.375,0.282963,0.282871,0.282959,0.282851
10.5,0.282917,0.282827,0.282913,0.282808
10.625,0.282872,0.282783,0.282868,0.282765
10.75,0.282826,0.282739,0.282822,0.282721
10.875,0.28278,0.282695,0.282777,0.282678
11,0.282735,0.282651,0.282731,0.282634
11.125,0.282689,0.282607,0.282685,0.28259
11.25,0.282643,0.282563,0.28264,0.282546
11.375,0.282597,0.282519,0.282594,0.282502
11.5,0.282551,0.282475,0.282548,0.282458
11.625,0.282505,0.28243,0.282502,0.282414
11.75,0.28246,0.282386,0.282456,0.28237
11.875,0.282414,0.282342,0.28241,0.282326
12,0.282368,0.282297,0.282364,0.282282
12.125,0.282322,0.282252,0.282319,0.282238
12.25,0.282275,0.282208,0.282273,0.282193
12.375,0.282229,0.282163,0.282226,0.282149
12.5,0.282183,0.282118,0.28218,0.282104
12.625,0.282137,0.282073,0.282134,0.28206
12.75,0.282091,0.282029,0.282088,0.282015
12.875,0.282045,0.281984,0.282042,0.281971
13,0.281999,0.281939,0.281996,0.281926
13.125,0.281952,0.281894,0.28195,0.281881
13.25,0.281906,0.281849,0.281904,0.281836
13.375,0.28186,0.281804,0.281857,0.281791
13.5,0.281814,0.281758,0.281811,0.281747
13.625,0.281767,0.281713,0.281765,0.281702
13.75,0.281721,0.281668,0.281718,0.281657
13.875,0.281674,0.281623,0.281672,0.281612
14,0.281628,0.281577,0.281626,0.281566
14.125,0.281582,0.281532,0.281579,0.281521
14.25,0.281535,0.281487,0.281533,0.281476
14.375,0.281489,0.281441,0.281487,0.281431
14.5,0.281442,0.281396,0.28144,0.281386
14.625,0.281396,0.28135,0.281394,0.28134
14.75,0.281349,0.281305,0.281347,0.281295
14.875,0.281303,0.281259,0.281301,0.28125
15,0.281256,0.281213,0.281254,0.281204
15.125,0.28121,0.281168,0.281208,0.281159
15.25,0.281163,0.281122,0.281161,0.281113
15.375,0.281116,0.281076,0.281115,0.281068
15.5,0.28107,0.281031,0.281068,0.281022
15.625,0.281023,0.280985,0.281021,0.280976
15.75,0.280977,0.280939,0.280975,0.280931
15.875,0.28093,0.280893,0.280928,0.280885
16,0.280883,0.280847,0.280882,0.280839
16.125,0.280837,0.280801,0.280835,0.280794
16.25,0.28079,0.280756,0.280788,0.280748
16.375,0.280743,0.28071,0.280741,0.280702
16.5,0.280696,0.280664,0.280695,0.280656
16.625,0.28065,0.280618,0.280648,0.28061
16.75,0.280603,0.280572,0.280601,0.280565
16.875,0.280556,0.280525,0.280555,0.280519
17,0.280509,0.280479,0.280508,0.280473
17.125,0.280463,0.280433,0.280461,0.280427
17.25,0.280416,0.280387,0.280414,0.280381
17.375,0.280369,0.280341,0.280368,0.280335
17.5,0.280322,0.280295,0.280321,0.280289
17.625,0.280275,0.280249,0.280274,0.280243
17.75,0.280228,0.280202,0.280227,0.280197
17.875,0.280182,0.280156,0.28018,0.28015
18,0.280135,0.28011,0.280133,0.280104
18.125,0.280088,0.280064,0.280087,0.280058
18.25,0.280041,0.280017,0.28004,0.280012
18.375,0.279994,0.279971,0.279993,0.279966
18.5,0.279947,0.279925,0.279946,0.27992
18.625,0.2799,0.279878,0.279899,0.279873
18.75,0.279853,0.279832,0.279852,0.279827
18.875,0.279806,0.279786,0.279805,0.279781
19,0.279759,0.279739,0.279758,0.279734
19.125,0.279712,0.279693,0.279711,0.279688
19.25,0.279665,0.279646,0.279664,0.279642
19.375,0.279618,0.2796,0.279617,0.279596
19.5,0.279571,0.279553,0.279571,0.279549
19.625,0.279524,0.279507,0.279524,0.279503
19.75,0.279477,0.27946,0.279477,0.279456
19.875,0.279431,0.279414,0.27943,0.27941
20,0.279384,0.279367,0.279383,0.279364
20.125,0.279336,0.279321,0.279336,0.279317
20.25,0.279289,0.279274,0.279289,0.279271
20.375,0.279242,0.279228,0.279242,0.279224
20.5,0.279195,0.279181,0.279195,0.279178
20.625,0.279148,0.279135,0.279148,0.279131
20.75,0.279101,0.279088,0.279101,0.279085
20.875,0.279054,0.279041,0.279054,0.279038
21,0.279007,0.278995,0.279007,0.278992
21.125,0.27896,0.278948,0.27896,0.278945
21.25,0.278913,0.278902,0.278912,0.278899
21.375,0.278866,0.278855,0.278865,0.278852
21.5,0.278819,0.278808,0.278818,0.278806
21.625,0.278772,0.278762,0.278771,0.278759
21.75,0.278725,0.278715,0.278724,0.278713
21.875,0.278678,0.278668,0.278677,0.278666
22,0.278631,0.278622,0.27863,0.278619
22.125,0.278584,0.278575,0.278583,0.278573
22.25,0.278537,0.278528,0.278536,0.278526
22.375,0.278489,0.278482,0.278489,0.27848
22.5,0.278442,0.278435,0.278442,0.278433
22.625,0.278395,0.278388,0.278395,0.278386
22.75,0.278348,0.278341,0.278348,0.27834
22.875,0.278301,0.278295,0.278301,0.278293
23,0.278254,0.278248,0.278253,0.278246
23.125,0.278207,0.278201,0.278206,0.2782
23.25,0.27816,0.278155,0.278159,0.278153
23.375,0.278113,0.278108,0.278112,0.278106
23.5,0.278065,0.278061,0.278065,0.27806
23.625,0.278018,0.278014,0.278018,0.278013
23.75,0.277971,0.277968,0.277971,0.277966
23.875,0.277924,0.277921,0.277924,0.27792
24,0.277877,0.277874,0.277877,0.277873
24.125,0.27783,0.277827,0.27783,0.277826
24.25,0.277783,0.277781,0.277782,0.27778
24.375,0.277736,0.277734,0.277735,0.277733
24.5,0.277689,0.277687,0.277688,0.277686
24.625,0.277641,0.27764,0.277641,0.27764
24.75,0.277594,0.277594,0.277594,0.277593
24.875,0.277547,0.277547,0.277547,0.277546
25,0.2775,0.2775,0.2775,0.2775
25.125,0.277453,0.277453,0.277453,0.277453
25.25,0.277406,0.277406,0.277406,0.277406
25.375,0.277359,0.27736,0.277358,0.27736
25.5,0.277311,0.277313,0.277311,0.277313
25.625,0.277264,0.277266,0.277264,0.277266
25.75,0.277217,0.277219,0.277217,0.277219
25.875,0.27717,0.277173,0.27717,0.277173
26,0.277123,0.277126,0.277123,0.277126
26.125,0.277076,0.277079,0.277076,0.277079
26.25,0.277029,0.277032,0.277029,0.277033
26.375,0.276982,0.276986,0.276982,0.276986
26.5,0.276935,0.276939,0.276935,0.276939
26.625,0.276887,0.276892,0.276887,0.276893
26.75,0.27684,0.276845,0.27684,0.276846
26.875,0.276793,0.276799,0.276793,0.276799
27,0.276746,0.276752,0.276746,0.276753
27.125,0.276699,0.276705,0.276699,0.276706
27.25,0.276652,0.276659,0.276652,0.276659
27.375,0.276605,0.276612,0.276605,0.276613
27.5,0.276558,0.276565,0.276558,0.276566
27.625,0.276511,0.276518,0.276511,0.27652
27.75,0.276463,0.276472,0.276464,0.276473
27.875,0.276416,0.276425,0.276416,0.276426
28,0.276369,0.276378,0.276369,0.27638
28.125,0.276322,0.276332,0.276322,0.276333
28.25,0.276275,0.276285,0.276275,0.276287
28.375,0.276228,0.276238,0.276228,0.27624
28.5,0.276181,0.276192,0.276181,0.276193
28.625,0.276134,0.276145,0.276134,0.276147
28.75,0.276087,0.276098,0.276087,0.2761
28.875,0.27604,0.276052,0.27604,0.276054
