"L/H","Q_total_numerical","Q_total_analytical","Q_total_error","Q_vw_numerical","Q_vw_analytical","Q_vw_error","Q_til_numerical","Q_til_analytical","Q_til_error","dil_numerical","dil_analytical","dil_error"
1,0.00189246,0.00351211,-85.5844,0.00189316,0.00351211,-85.5157,2.92E-08,4.10E-07,-1304.27,64778.4,8557.77,86.7892
1.5,0.00366937,0.00511715,-39.4559,0.00367342,0.00511715,-39.302,2.18E-07,9.23E-07,-323.053,16829.7,5541.64,67.0722
2,0.00521759,0.0064151,-22.9516,0.00521693,0.0064151,-22.967,7.04E-07,1.64E-06,-133.168,7409.98,3907.84,47.2625
2.5,0.0064446,0.00737476,-14.4331,0.00643917,0.00737476,-14.5297,1.44E-06,2.57E-06,-78.701,4486.1,2875.15,35.9099
3,0.00735246,0.00805126,-9.50439,0.00735121,0.00805126,-9.52304,2.41E-06,3.69E-06,-53.4508,3054.06,2179.79,28.6266
3.5,0.00800505,0.00851727,-6.39864,0.00800088,0.00851727,-6.45414,3.61E-06,5.03E-06,-39.4535,2219.34,1694.17,23.6634
4,0.00846489,0.0088348,-4.36994,0.00845976,0.0088348,-4.43323,5.02E-06,6.57E-06,-30.7601,1684.64,1345.46,20.1337
4.5,0.00878514,0.00905009,-3.01585,0.00877973,0.00905009,-3.07928,6.65E-06,8.31E-06,-25.022,1320.8,1088.98,17.5511
5,0.00900978,0.0091957,-2.06359,0.00899887,0.0091957,-2.18733,8.48E-06,1.03E-05,-20.9253,1060.61,896.267,15.4955
5.5,0.00916726,0.00929408,-1.38337,0.00915335,0.00929408,-1.53743,1.05E-05,1.24E-05,-17.8672,869.041,748.641,13.8544
6,0.00927585,0.00936051,-0.912591,0.00925982,0.00936051,-1.08737,1.28E-05,1.48E-05,-15.6069,724.563,633.562,12.5594
6.5,0.00935059,0.00940533,-0.585503,0.00933314,0.00940533,-0.773518,1.52E-05,1.73E-05,-13.8013,612.549,542.426,11.4479
7,0.0093961,0.00943557,-0.420143,0.00938367,0.00943557,-0.553148,1.79E-05,2.01E-05,-12.3069,524.053,469.207,10.4657
7.5,0.00943829,0.00945596,-0.187215,0.0094189,0.00945596,-0.393455,2.08E-05,2.31E-05,-11.1062,453.324,409.615,9.64192
8,0.00946271,0.0094697,-0.0738575,0.00944375,0.0094697,-0.274821,2.38E-05,2.63E-05,-10.1916,396.192,360.536,8.99961
8.5,0.00948388,0.00947894,0.0520359,0.00946017,0.00947894,-0.198479,2.71E-05,2.97E-05,-9.37754,348.965,319.679,8.39209
9,0.00949888,0.00948516,0.144492,0.00947179,0.00948516,-0.141154,3.06E-05,3.32E-05,-8.64178,309.554,285.333,7.82445
9.5,0.00951018,0.00948932,0.219399,0.00947969,0.00948932,-0.101516,3.43E-05,3.70E-05,-8.03014,276.493,256.201,7.33927
10,0.00952148,0.0094921,0.308547,0.00948561,0.0094921,-0.0684074,3.82E-05,4.10E-05,-7.50331,248.473,231.289,6.91598
10.5,0.00952731,0.00949394,0.350269,0.00948943,0.00949394,-0.0475297,4.23E-05,4.52E-05,-7.03095,224.473,209.827,6.52467
11,0.0095356,0.00949516,0.424139,0.009492,0.00949516,-0.0332844,4.66E-05,4.97E-05,-6.62622,203.812,191.209,6.18323
11.5,0.00954162,0.00949595,0.478675,0.00949458,0.00949595,-0.0143857,5.11E-05,5.43E-05,-6.26314,185.89,174.959,5.88045
12,0.00954816,0.00949645,0.541635,0.00949566,0.00949645,-0.00832795,5.58E-05,5.91E-05,-5.9522,170.241,160.691,5.60995
12.5,0.00955257,0.00949676,0.584312,0.00949614,0.00949676,-0.00643545,6.07E-05,6.41E-05,-5.65097,156.456,148.098,5.34262
13,0.00956105,0.00949693,0.67061,0.00949623,0.00949693,-0.00738006,6.58E-05,6.94E-05,-5.39142,144.299,136.927,5.10861
13.5,0.00956718,0.00949702,0.733326,0.00949683,0.00949702,-0.00199849,7.11E-05,7.48E-05,-5.1502,133.51,126.973,4.89605
14,0.00957276,0.00949705,0.790891,0.00949724,0.00949705,0.00203093,7.67E-05,8.04E-05,-4.93199,123.892,118.066,4.70211
14.5,0.00957796,0.00949703,0.844906,0.00949844,0.00949703,0.0147696,8.24E-05,8.63E-05,-4.72951,115.286,110.064,4.53003
15,0.00958529,0.009497,0.921159,0.00949847,0.009497,0.0155587,8.83E-05,9.23E-05,-4.55229,107.547,102.848,4.36896
